(4773, 4839)
(1836, 6277)
(5403, 396)
(5819, 2934)
(4595, 3111)
(5777, 4514)
(544, 2957)
(5593, 5745)
(1416, 6944)
(7114, 1132)
(8720, 9279)
(257, 2146)
(5981, 8221)
(3184, 4715)
(1616, 8466)
(7296, 5724)
(2755, 7198)
(8292, 5948)
(6146, 5292)
(856, 4662)
(2270, 1118)
(4245, 3878)
(3986, 1668)
(5148, 4734)
(2568, 668)
(9289, 516)
(5457, 4522)
(3127, 8215)
(525, 6605)
(4704, 1660)
(8384, 6044)
(1152, 616)
(6472, 8593)
(1110, 2047)
(1578, 8717)
(8449, 1334)
(4082, 4242)
(1299, 4692)
(571, 1509)
(8027, 6)
(6904, 1806)
(3016, 1185)
(8545, 1014)
(2201, 7245)
(5820, 3540)
(5629, 791)
(666, 5839)
(1393, 4218)
(1890, 3941)
(5781, 3175)
(3905, 4186)
(7826, 4724)
(3833, 1686)
(6915, 5590)
(8232, 1699)
(440, 9260)
(9298, 2662)
(4569, 5254)
(4721, 1330)
(500, 7590)
(2416, 6917)
(753, 3569)
(4378, 173)
(6918, 4319)
(3002, 4948)
(5880, 3805)
(3266, 7703)
(2513, 6562)
(1427, 28)
(4021, 6854)
(9156, 6118)
(285, 4151)
(6541, 4574)
(7912, 5419)
(3752, 2649)
(29, 6791)
(7069, 7439)
(168, 4505)
(1896, 978)
(2508, 4654)
(594, 4842)
(578, 2948)
(6144, 2399)
(5042, 5162)
(3026, 6422)
(6233, 7468)
(1618, 2052)
(5925, 527)
(5272, 1279)
(1928, 3153)
(4029, 5006)
(4324, 5677)
(9312, 4285)
(2969, 9047)
(5881, 7142)
(232, 2409)
(3912, 6119)
(6032, 5999)
(2069, 3398)
(7372, 4196)
(2180, 4663)
(2287, 4231)
(6316, 5614)
(409, 1260)
(4512, 786)
(459, 1117)
(7302, 991)
(7698, 3700)
(1201, 6714)
(6038, 5647)
(4912, 3092)
(4972, 2734)
(4793, 1945)
(1946, 8381)
(1283, 1764)
(1064, 5289)
(6425, 8917)
(7840, 643)
(6473, 1266)
(4217, 8844)
(3408, 4770)
(1570, 2244)
(8440, 5519)
(3336, 549)
(6000, 35)
(8673, 738)
(1571, 5182)
(5659, 8903)
(2620, 4286)
(231, 6087)
(5353, 5269)
(2138, 5567)
(2348, 4357)
(5684, 4358)
(6101, 854)
(1965, 5989)
(5512, 50)
(5899, 5414)
(5726, 5263)
(1235, 3031)
(8953, 7715)
(4792, 4684)
(3618, 2238)
(5625, 866)
(6546, 422)
(4427, 4564)
(6578, 2854)
(4729, 1747)
(7771, 5206)
(5509, 5879)
(2840, 1018)
(2523, 2622)
(1650, 5703)
(7572, 3949)
(8984, 1119)
(6060, 5502)
(3113, 7533)
(4866, 566)
(7562, 350)
(8921, 1858)
(4681, 3675)
(4843, 964)
(188, 7935)
(7426, 1922)
(4801, 3038)
(284, 1837)
(6783, 95)
(6912, 9142)
(1466, 9018)
(80, 645)
(5912, 1155)
(2129, 4788)
(195, 9119)
(1308, 6486)
(4116, 4525)
(1333, 917)
(4666, 3091)
(3078, 6375)
(5228, 3654)
(7648, 8076)
(5106, 4302)
(7783, 1247)
(5816, 526)
(7027, 446)
(5780, 5564)
(2862, 1911)
(8001, 3806)
(4784, 8079)
(1708, 7373)
(5460, 863)
(1636, 2509)
(1109, 3895)
(120, 9159)
(593, 5327)
(9290, 7406)
(3331, 790)
(2689, 2226)
(8465, 7674)
(184, 5244)
(6194, 6986)
(5721, 6165)
(7432, 4794)
(6073, 545)
(617, 8550)
(6786, 4395)
