(53, 1629)
(1304, 1576)
(721, 349)
(610, 1254)
(1282, 255)
(458, 1943)
(1490, 531)
(112, 641)
(1313, 1563)
(1890, 492)
(283, 123)
(1739, 1900)
(336, 1270)
(1390, 471)
(537, 366)
(1789, 845)
(621, 783)
(985, 660)
(1073, 1020)
(48, 76)
(203, 615)
(582, 782)
(1034, 772)
(968, 180)
(1734, 518)
(1667, 1511)
(1797, 1230)
(362, 379)
(1729, 943)
(1937, 316)
(363, 124)
(1434, 918)
(281, 799)
(1595, 445)
(513, 139)
(1353, 36)
(712, 1669)
(168, 104)
(1513, 244)
(233, 1164)
(1168, 1549)
(1130, 1028)
(992, 649)
(530, 475)
(312, 1555)
(1458, 1486)
(1790, 1959)
(595, 1022)
(528, 47)
(377, 1446)
(1314, 62)
(1138, 1526)
(434, 1837)
(674, 766)
(552, 651)
(1827, 467)
(898, 907)
(100, 509)
(1747, 1350)
(1167, 775)
(122, 1741)
(1017, 1327)
(189, 190)
(722, 1346)
(1056, 944)
(1598, 998)
(339, 1437)
(1692, 260)
(442, 1557)
(1811, 724)
(1396, 118)
(1497, 1580)
(1352, 1351)
(1651, 982)
(780, 789)
(306, 851)
(1728, 1858)
(1659, 1660)
(1643, 749)
(1657, 1587)
(1499, 741)
(1632, 1670)
(936, 1796)
(417, 1905)
(1098, 406)
(258, 1979)
(650, 279)
(1904, 1293)
(921, 355)
(1624, 1913)
(1649, 1341)
(1547, 1711)
(1102, 287)
(880, 85)
(1376, 499)
(42, 405)
(672, 1475)
(495, 1415)
(1146, 958)
(108, 1015)
(952, 1529)
(1883, 452)
(1456, 1956)
(1489, 821)
(1548, 718)
(1579, 77)
(200, 1503)
(1209, 1419)
(1170, 39)
(1315, 125)
(786, 1581)
(27, 119)
(371, 1110)
(760, 1300)
(1165, 46)
(739, 1515)
(889, 300)
(604, 814)
(481, 1628)
(1539, 543)
(1043, 605)
(161, 891)
(1156, 253)
(997, 983)
(652, 967)
(500, 166)
(687, 1751)
(1081, 1391)
(235, 1334)
(197, 575)
(1142, 327)
(1372, 542)
(1171, 134)
(1661, 654)
(1003, 141)
(1945, 1087)
(1552, 1412)
(1761, 759)
(1712, 1221)
(20, 1949)
(257, 1358)
(1478, 1719)
(1307, 925)
(726, 534)
(1596, 1189)
(152, 1174)
(1037, 646)
(227, 45)
(738, 1918)
(387, 1724)
(1969, 617)
(1050, 347)
(804, 1774)
(146, 66)
(594, 494)
(1801, 1954)
(136, 1742)
(1388, 95)
(113, 554)
(1329, 1330)
(1089, 711)
(835, 715)
(734, 910)
(636, 1143)
(1152, 242)
(520, 1466)
(1744, 1685)
(1121, 1566)
(131, 351)
(155, 318)
(1893, 1655)
(632, 462)
(72, 948)
(773, 1014)
(289, 1709)
(65, 1565)
(657, 1449)
(9, 191)
(945, 275)
(1891, 1758)
(771, 1965)
(1435, 157)
(521, 887)
(577, 1941)
(1924, 1108)
(1468, 1255)
(1674, 30)
(234, 1477)
(132, 1438)
(448, 1567)
(634, 1703)
(498, 94)
(1389, 1623)
(1569, 31)
(1136, 1559)
(422, 239)
(1074, 1220)
(193, 150)
(160, 727)
(779, 238)
(265, 1347)
(1264, 1317)
(768, 247)
(304, 1186)
(1853, 1214)
(962, 1671)
(1525, 1519)
(354, 1263)
(874, 1558)
(1027, 187)
(954, 1258)
(1281, 341)
(1561, 1051)
(424, 1196)
(1288, 645)
(145, 1125)
(1554, 365)
(17, 567)
(1537, 1215)
(1721, 231)
(529, 342)
(565, 942)
(1378, 395)
(1876, 653)
(1888, 655)
(1137, 1653)
(1122, 478)
(1984, 1544)
(504, 923)
(426, 1934)
(98, 1723)
(1040, 683)
(1754, 26)
(1342, 966)
(101, 398)
(692, 1159)
(905, 1123)
(1939, 309)
(248, 1518)
(1395, 987)
(946, 895)
(986, 1206)
(91, 143)
(1184, 1877)
(1289, 93)
(1697, 1190)
(993, 1501)
(1784, 453)
(1202, 183)
(297, 751)
(1568, 667)
(82, 686)
(378, 181)
(322, 933)
(1428, 126)
(1862, 894)
(1923, 1807)
(1185, 1460)
(1922, 899)
(128, 384)
(1072, 589)
(586, 1509)
(404, 1469)
(1545, 1205)
(884, 556)
(704, 598)
(870, 1942)
(777, 1095)
(1696, 1612)
(1145, 331)
(665, 1253)
(1867, 1750)
(696, 841)
(496, 587)
(1366, 7)
(1459, 863)
(1204, 246)
(1321, 502)
(795, 1228)
(1018, 501)
(1068, 102)
(1083, 1524)
(1233, 1063)
(730, 1931)
(1585, 230)
(140, 12)
(1635, 1619)
(99, 1381)
(1344, 1345)
(1780, 60)
(553, 797)
(1115, 708)
(1973, 1367)
(1974, 1759)
(1251, 699)
(444, 1308)
(1109, 1271)
(580, 540)
(1699, 1493)
(824, 1556)
(74, 579)
(1603, 867)
(1690, 508)
(1763, 1157)
(25, 156)
(1064, 491)
(960, 690)
(1771, 1772)
(928, 292)
(720, 16)
(939, 1134)
(697, 963)
(334, 1814)
(1737, 1788)
(1546, 988)
(796, 438)
(388, 55)
(1066, 1830)
(186, 487)
(1714, 1911)
(746, 446)
(1097, 1198)
(1181, 1695)
(185, 1443)
(1225, 1594)
(1088, 57)
(1946, 1260)
(1944, 1052)
(1384, 1111)
(1448, 1114)
(848, 1226)
(885, 470)
(1474, 358)
(346, 750)
(1753, 676)
(1745, 1746)
(1672, 602)
(194, 1757)
(1886, 702)
(32, 1615)
(924, 1373)
(468, 703)
(1008, 311)
(1577, 1124)
(681, 1652)
(951, 1247)
(1242, 1292)
(832, 881)
(1001, 937)
(1112, 1591)
(1968, 609)
(228, 1535)
(439, 1975)
(1706, 1274)
(680, 213)
(1722, 68)
(752, 656)
(84, 1765)
(1832, 861)
(232, 858)
(1245, 525)
(1026, 459)
(507, 1700)
(202, 1491)
(1880, 361)
(1906, 1182)
(619, 1550)
(1067, 1399)
(1824, 1387)
(210, 1211)
(21, 1461)
(515, 1340)
(1473, 635)
(1964, 854)
(449, 1731)
(574, 343)
(1705, 1030)
(714, 503)
(548, 205)
(1748, 830)
(545, 1219)
(115, 1324)
(1441, 1362)
(1386, 770)
(1950, 1239)
(114, 1755)
(1320, 178)
(1588, 1542)
(1752, 1483)
(130, 159)
(1768, 179)
(1333, 1023)
(1355, 1676)
(370, 149)
(401, 402)
(536, 846)
(664, 1279)
(373, 303)
(1884, 1397)
(1794, 838)
(588, 902)
(353, 1902)
(608, 969)
(52, 86)
(1426, 1583)
(1874, 965)
(1, 22)
(571, 431)
(1267, 116)
(1297, 1298)
(1952, 1787)
(1868, 1150)
(1033, 614)
(1502, 182)
(382, 1983)
(412, 285)
(1409, 1786)
(828, 599)
(592, 1402)
(1212, 1357)
(490, 460)
(584, 1407)
(816, 1277)
(264, 117)
(1113, 597)
(1053, 165)
(1309, 917)
(394, 1404)
(440, 1371)
(1970, 1148)
(973, 550)
(549, 631)
(811, 1445)
(1000, 1470)
(1252, 639)
(1485, 990)
(1065, 1963)
(1770, 723)
(307, 707)
(1809, 803)
